"","1","0.214331261310084","0.0906923119906285","0.0843160041420528","0.0705428158653949","0.0623948819178208","0.055402936501884","0.0517985611510791","0.0486060994202635","0.0378411463969003","0.021941832009329","0.019052217953168","0.0181855333060891","0.0170272794158505","0.0121454545454545","0.0113910055711168","0.00740529175529092","0.00738721992308085","0.00730521977176955","0.00593537041107936","0.00553520641528575","0.00452218261269259","0.00427642977660246","0.00409293864726311","0.00333801368316162","0.00261429228771664","0.00184727999239286","0.00161073825503356","0.000853424365265629","0.000841291343363683","0.000754316365871375","0.0005837502041893","0.00054488489306634","0.000469990811264885","0.000416351507684401","0.000272941224939618","0.000268331951017222","0.000178502724023533","0.00014378940382701","0.0001344642347352","0.000131320778036986","3.28442415300467e-05","2.47295277386564e-05","2.19700522095273e-05","2.17355865891431e-05","1.20360600358675e-05","1.1249955942503e-05","7.56049293755256e-06","3.17877850664247e-06","2.63352534334099e-06"
"08067",23,22,22,22,21,21,21,20,19,19,18,17,16,15,14,14,14,13,26,25,24,23,22,21,21,21,20,19,18,17,16,15,14,13,15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,1
"08071",24,23,23,23,22,22,22,21,20,20,19,18,17,16,15,15,15,14,13,12,12,11,10,10,10,10,10,9,8,8,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,1
"35025",25,24,24,24,23,23,23,22,21,21,20,19,18,17,16,16,16,15,14,13,13,12,11,11,11,11,11,10,9,9,8,8,7,7,7,6,6,5,5,4,10,9,8,7,6,5,4,3,2,1
"35027",26,25,25,25,24,24,24,23,22,22,21,20,19,18,17,17,17,16,15,14,20,19,18,18,18,18,17,16,15,14,13,16,15,14,13,12,11,10,9,8,7,7,6,5,4,3,4,3,2,1
"35028",27,26,26,26,25,38,37,36,35,35,34,33,32,31,30,29,29,28,27,26,25,24,23,22,23,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,1
"06037",28,27,27,27,26,25,25,24,23,23,22,21,20,19,18,18,18,17,16,15,14,13,12,12,12,12,12,11,10,10,9,9,8,8,8,7,7,6,6,5,4,4,7,6,5,4,3,3,2,1
"48303",29,28,28,28,27,26,26,25,24,24,23,22,21,20,19,19,19,18,17,16,15,14,13,13,13,13,13,12,11,11,10,10,9,9,9,8,11,10,9,8,7,7,6,5,4,3,4,3,2,1
"35029",30,29,29,29,28,27,27,26,25,25,24,23,22,21,20,20,20,19,18,17,16,15,14,14,14,14,17,16,15,14,13,16,15,14,13,12,11,10,9,8,7,7,6,5,4,3,4,3,2,1
"04013",31,30,30,30,29,28,28,27,26,26,25,24,23,22,21,21,21,20,19,18,17,16,15,15,15,15,14,13,12,12,11,11,10,10,10,9,8,7,7,6,5,5,4,3,2,2,2,2,2,1
"35031",32,31,31,31,30,29,29,28,27,27,26,25,24,23,22,22,22,21,20,19,18,17,16,16,16,16,15,14,13,17,16,15,14,13,15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,1
"08083",33,32,32,32,31,30,30,29,28,28,27,26,25,24,23,23,23,22,21,20,19,18,17,17,17,17,16,15,14,13,12,12,11,11,11,10,9,8,8,7,6,6,5,4,3,4,3,3,2,1
"35033",34,33,33,33,32,31,36,35,34,34,33,32,31,30,29,29,29,28,27,26,25,24,23,22,23,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,3,2,1
"35035",35,34,34,34,33,32,31,30,29,29,28,27,26,25,24,24,24,23,22,21,20,19,18,18,18,18,17,16,15,14,13,16,15,14,13,12,11,10,9,8,7,7,6,5,4,3,4,3,2,1
"48369",36,35,35,35,34,33,32,31,30,30,29,28,27,26,25,25,25,24,23,22,21,20,19,20,20,20,19,18,17,16,15,14,13,12,12,11,10,9,10,9,8,9,8,7,6,5,4,3,2,1
